date;CRC_ID;observed;predicted_circuit
09/12/2019;7749;30,96;30,94943233
16/12/2019;7749;33,14;30,97625305
23/12/2019;7749;29,74;35,14393476
30/12/2019;7749;35,38;35,15053084
06/01/2020;7749;27,44;30,99942103
13/01/2020;7749;27,3;31,00104321
20/01/2020;7749;27,36;31,00184768
27/01/2020;7749;31,88;31,00224663
03/02/2020;7749;28,46;31,00244447
10/02/2020;7749;26,46;31,00254259
17/02/2020;7749;27,76;31,00259124
24/02/2020;7749;29,68;31,00261537
02/03/2020;7749;37,58;31,00262734
09/03/2020;7749;30,44;31,00263327
16/03/2020;7749;26,72;31,00263622
23/03/2020;7749;26,58;31,00263767
30/03/2020;7749;24,42;31,0026384
06/04/2020;7749;24,7;39,31140057
13/04/2020;7749;25,12;31,00263894
20/04/2020;7749;25,76;35,15701993
27/04/2020;7749;23,62;35,15701997
04/05/2020;7749;25,88;31,00263909
11/05/2020;7749;26,16;31,0026391
18/05/2020;7749;32,52;31,00263911
25/05/2020;7749;28,38;31,00263911
01/06/2020;7749;24,96;31,00263911
08/06/2020;7749;21,78;39,31140092
15/06/2020;7749;24,2;31,00263911
22/06/2020;7749;25,88;31,00263911
29/06/2020;7749;25,62;31,00263911
06/07/2020;7749;25,2;31,00263911
13/07/2020;7749;28;31,00263911
20/07/2020;7749;25;31,00263911
27/07/2020;7749;27,42;31,00263911
03/08/2020;7749;30,58;31,00263911
10/08/2020;7749;29,14;35,15702002
17/08/2020;7749;27,68;31,00263911
24/08/2020;7749;28,58;31,00263911
31/08/2020;7749;30,48;31,00263911
07/09/2020;7749;30,46;31,00263911
14/09/2020;7749;29,52;31,00263911
21/09/2020;7749;30,12;31,00263911
28/09/2020;7749;29,92;31,00263911
05/10/2020;7749;28,68;35,15702002
12/10/2020;7749;28,28;31,00263911
19/10/2020;7749;29,64;31,00263911
26/10/2020;7749;28,92;35,15702002
10/04/2017;7750;31,06;0
17/04/2017;7750;35,04;37,88070172
24/04/2017;7750;30,36;32,98095947
01/05/2017;7750;33,8;31,97160411
08/05/2017;7750;36,06;35,9809816
15/05/2017;7750;38,28;36,00472714
22/05/2017;7750;36,58;36,65775039
29/05/2017;7750;38,3;36,63597402
05/06/2017;7750;35,9;33,68558082
12/06/2017;7750;23,88;30,88316129
19/06/2017;7750;39,02;35,78813938
26/06/2017;7750;35,92;36,67060621
03/07/2017;7750;35,54;36,46586065
